ma,cost_cny,cost_usd_used,landed_item_usd,landed_sea_usd,landed_air_usd,sell_20pct_margin_item,sell_20pct_margin_sea,sell_20pct_margin_air,sell_20pct_markup_sea,current_sell_usd,delta_vs_current_sea,notes
A01,90.65,13.48,13.48,15.61,18.55,16.85,19.51,23.19,18.73,25.00,5.49,FX_CONFLICT catalog_cost_usd 13.51 vs used 13.48 (prefer CNY/6.725515); live sell 25.00 available; OVER_SEA +5.49 (current GM vs sea landed 37.6%)
P01,7.18,1.07,1.07,3.20,6.14,1.34,4.00,7.68,3.84,5.00,1.00,FX matches catalog cost_usd at 2dp; live sell 5.00 available; OVER_SEA +1.00 (current GM vs sea landed 36.0%)
S01,114.07,16.96,16.96,19.10,22.03,21.20,23.88,27.54,22.92,28.00,4.12,FX_CONFLICT catalog_cost_usd 17.00 vs used 16.96 (prefer CNY/6.725515); live sell 28.00 available; OVER_SEA +4.12 (current GM vs sea landed 31.8%)
P02,63.00,9.37,9.37,11.50,14.44,11.71,14.38,18.05,13.80,,,FX_CONFLICT catalog_cost_usd 9.39 vs used 9.37 (prefer CNY/6.725515); NO_CURRENT_SELL snapshot empty; live Hold/Inbox; do not invent $
P05,75.00,11.15,11.15,13.29,16.22,13.94,16.61,20.28,15.95,23.00,6.39,FX_CONFLICT catalog_cost_usd 11.18 vs used 11.15 (prefer CNY/6.725515); SNAPSHOT_SELL 23.00 not live (live hold Inbox / null) — compare only; do not Save; OVER_SEA +6.39 (current GM vs sea landed 42.2%); shop law: P05 never official $23; Excel snapshot only
P03,31.00,4.61,4.61,6.75,9.68,5.76,8.44,12.10,8.10,18.00,9.56,FX_CONFLICT catalog_cost_usd 4.62 vs used 4.61 (prefer CNY/6.725515); live sell 18.00 available; OVER_SEA +9.56 (current GM vs sea landed 62.5%)
P04,15.90,2.36,2.36,4.50,7.43,2.95,5.63,9.29,5.40,13.00,7.37,FX_CONFLICT catalog_cost_usd 2.37 vs used 2.36 (prefer CNY/6.725515); live sell 13.00 available; OVER_SEA +7.37 (current GM vs sea landed 65.4%)
K01,103.03,15.32,15.32,17.46,20.39,19.15,21.83,25.49,20.95,37.00,15.17,USD_ONLY snapshot had no Taobao ¥; used cost_usd 15.32; back-calc CNY 103.03; never invented live Taobao ¥; live sell 37.00 available; OVER_SEA +15.17 (current GM vs sea landed 52.8%)
H01,13.45,2.00,2.00,4.14,7.07,2.50,5.18,8.84,4.97,8.00,2.82,USD_ONLY snapshot had no Taobao ¥; used cost_usd 2.00; back-calc CNY 13.45; never invented live Taobao ¥; live sell 8.00 available; OVER_SEA +2.82 (current GM vs sea landed 48.2%)
A02,71.00,10.56,10.56,12.69,15.63,13.20,15.86,19.54,15.23,22.00,6.14,USD from CNY via FX; catalog cost_usd empty; live sell 22.00 available; OVER_SEA +6.14 (current GM vs sea landed 42.3%)
A03,59.00,8.77,8.77,10.91,13.84,10.96,13.64,17.30,13.09,19.00,5.36,FX_CONFLICT catalog_cost_usd 8.79 vs used 8.77 (prefer CNY/6.725515); SNAPSHOT_SELL 19.00 not live (live hold Inbox / null) — compare only; do not Save; OVER_SEA +5.36 (current GM vs sea landed 42.6%); live A03 has no sourceLink; snapshot link listed for staff only
