ma,kind,grams_model,cost_cny,cost_usd_used,landed_item_usd,inbound_sea_eq_usd,inbound_air_eq_usd,landed_sea_usd,landed_air_usd,sell_20pct_margin_item,sell_20pct_margin_sea,sell_20pct_margin_air,sell_20pct_markup_sea,landed_sea_n5_usd,sell_20pct_margin_sea_n5,landed_sea_n20_usd,sell_20pct_margin_sea_n20,landed_sea_old158_usd,sell_20pct_margin_sea_old158,inbound_sea_wt_usd,landed_sea_wt_usd,sell_20pct_margin_sea_wt,current_sell_usd,delta_vs_current_sea,notes
A01,A,360,90.65,13.48,13.48,2.52,5.97,15.99,19.45,16.85,19.99,24.31,19.19,17.17,21.46,16.02,20.03,15.61,19.51,3.80,17.28,21.60,25.00,5.01,FX_CONFLICT catalog_cost_usd 13.51 vs used 13.48 (prefer CNY/6.725515); live available $25; OVER_SEA 5.01 (current GM vs sea landed 36.0%)
P01,P,80,7.18,1.07,1.07,2.52,5.97,3.58,7.04,1.34,4.48,8.80,4.30,4.76,5.95,3.60,4.50,3.20,4.00,0.84,1.91,2.39,5.00,0.52,FX matches catalog cost_usd at 2dp; live available $5; OVER_SEA 0.52 (current GM vs sea landed 28.4%)
S01,S,450,114.07,16.96,16.96,2.52,5.97,19.48,22.93,21.20,24.35,28.66,23.38,20.65,25.81,19.50,24.38,19.10,23.88,4.75,21.71,27.14,28.00,3.65,FX_CONFLICT catalog_cost_usd 17.00 vs used 16.96 (prefer CNY/6.725515); live available $28; OVER_SEA 3.65 (current GM vs sea landed 30.4%)
P02,P,80,63.00,9.37,9.37,2.52,5.97,11.88,15.34,11.71,14.85,19.18,14.26,13.06,16.33,11.90,14.88,11.50,14.38,0.84,10.21,12.76,,,FX_CONFLICT catalog_cost_usd 9.39 vs used 9.37 (prefer CNY/6.725515); live hold Inbox; NO_CURRENT_SELL snapshot empty; do not invent $
P05,P,80,109.90,16.34,16.34,2.52,5.97,18.86,22.31,20.43,23.58,27.89,22.63,20.03,25.04,18.88,23.60,18.48,23.10,0.84,17.19,21.49,23.00,-0.58,LIVE_LIST 109.90 (was 75; short-link meta 98.90 unused); SNAPSHOT_SELL 23.00 not live (live hold Inbox); do not Save; shop law: P05 never official $23; UNDER_SEA -0.58 (current GM vs sea landed 18.0%)
P03,P,80,31.00,4.61,4.61,2.52,5.97,7.12,10.58,5.76,8.90,13.23,8.54,8.30,10.38,7.15,8.94,6.75,8.44,0.84,5.45,6.81,18.00,9.10,FX_CONFLICT catalog_cost_usd 4.62 vs used 4.61 (prefer CNY/6.725515); live available $18; OVER_SEA 9.10 (current GM vs sea landed 60.4%)
P04,P,80,15.90,2.36,2.36,2.52,5.97,4.88,8.33,2.95,6.10,10.41,5.86,6.05,7.56,4.90,6.13,4.50,5.63,0.84,3.21,4.01,13.00,6.90,FX_CONFLICT catalog_cost_usd 2.37 vs used 2.36 (prefer CNY/6.725515); live available $13; OVER_SEA 6.90 (current GM vs sea landed 62.5%)
K01,K,650,125.00,18.59,18.59,2.52,5.97,21.10,24.56,23.24,26.38,30.70,25.32,22.28,27.85,21.12,26.40,20.72,25.90,6.86,25.45,31.81,37.00,10.62,LIVE_LIST 125 (was USD_ONLY ~103.03 / 15.32); live available $37; OVER_SEA 10.62 (current GM vs sea landed 43.0%)
H01,H,40,17.90,2.66,2.66,2.52,5.97,5.18,8.63,3.33,6.48,10.79,6.22,6.35,7.94,5.20,6.50,4.80,6.00,0.42,3.08,3.85,8.00,1.52,LIVE_LIST 17.90 (was USD_ONLY ~13.45 / 2.00); live available $8; OVER_SEA 1.52 (current GM vs sea landed 35.2%)
A02,A,360,85.90,12.77,12.77,2.52,5.97,15.29,18.74,15.96,19.11,23.43,18.35,16.46,20.58,15.31,19.14,14.91,18.64,3.80,16.57,20.71,22.00,2.89,LIVE_LIST 85.90 (was 71); live available $22; OVER_SEA 2.89 (current GM vs sea landed 30.5%)
A03,A,360,59.00,8.77,8.77,2.52,5.97,11.29,14.74,10.96,14.11,18.43,13.55,12.46,15.58,11.31,14.14,10.91,13.64,3.80,12.57,15.71,19.00,4.89,FX_CONFLICT catalog_cost_usd 8.79 vs used 8.77 (prefer CNY/6.725515); SNAPSHOT_SELL 19.00 not live (live hold Inbox); do not Save; live A03 has no sourceLink; OVER_SEA 4.89 (current GM vs sea landed 40.6%)
