ma,kind,grams_model,cost_cny,cost_usd_used,inbound_sea_old_3kg_eq_usd,inbound_sea_4kg_eq_usd,inbound_sea_4kg_wt_usd,inbound_sea_4kg_wt_floor_usd,inbound_air_4kg_wt_floor_usd,inbound_sea_5kg_wt_floor_usd,inbound_air_5kg_wt_floor_usd,landed_item_usd,landed_sea_usd,landed_air_usd,landed_sea_5kg_usd,sell_50pct_item,sell_50pct_sea,sell_50pct_air,sell_50pct_sea_5kg,current_sell_usd,delta_vs_current_sea,flag_vs_sea_50pct,customer_us_flat_ship_usd,notes
A01,A,360,90.65,13.48,2.52,3.35,5.07,5.07,12.03,6.34,15.04,13.48,18.55,25.51,19.82,26.96,37.10,51.02,39.64,25.00,-12.10,UNDER_SEA,,FX_CONFLICT catalog_cost_usd 13.51 vs used 13.48 (prefer CNY/6.725515); live available $25; UNDER_SEA -12.10 (current GM vs sea landed 25.80%)
P01,P,80,7.18,1.07,2.52,3.35,1.13,4.61,10.95,4.61,10.95,1.07,5.68,12.01,5.68,2.14,11.36,24.02,11.36,5.00,-6.36,UNDER_SEA,,FX matches catalog cost_usd at 2dp; live available $5; UNDER_SEA -6.36 (current GM vs sea landed -13.60%)
S01,S,450,114.07,16.96,2.52,3.35,6.34,6.34,15.04,7.92,18.80,16.96,23.30,32.00,24.88,33.92,46.60,64.00,49.76,28.00,-18.60,UNDER_SEA,,FX_CONFLICT catalog_cost_usd 17.00 vs used 16.96 (prefer CNY/6.725515); live available $28; UNDER_SEA -18.60 (current GM vs sea landed 16.79%)
P02,P,80,63.00,9.37,2.52,3.35,1.13,4.61,10.95,4.61,10.95,9.37,13.98,20.31,13.98,18.74,27.96,40.62,27.96,,,NO_CURRENT_SELL,,FX_CONFLICT catalog_cost_usd 9.39 vs used 9.37 (prefer CNY/6.725515); NO_CURRENT_SELL snapshot empty; do not invent $; live hold Inbox
P05,P,80,109.90,16.34,2.52,3.35,1.13,4.61,10.95,4.61,10.95,16.34,20.95,27.29,20.95,32.68,41.90,54.58,41.90,23.00,-18.90,UNDER_SEA,,LIVE_LIST 109.90 (was 75; short-link meta 98.90 unused); SNAPSHOT_SELL 23.00 not live; do not Save; shop law: P05 never official $23; live hold Inbox; UNDER_SEA -18.90 (current GM vs sea landed 8.91%)
P03,P,80,31.00,4.61,2.52,3.35,1.13,4.61,10.95,4.61,10.95,4.61,9.22,15.56,9.22,9.22,18.44,31.12,18.44,18.00,-0.44,UNDER_SEA,,FX_CONFLICT catalog_cost_usd 4.62 vs used 4.61 (prefer CNY/6.725515); live available $18; UNDER_SEA -0.44 (current GM vs sea landed 48.78%)
P04,P,80,15.90,2.36,2.52,3.35,1.13,4.61,10.95,4.61,10.95,2.36,6.98,13.31,6.98,4.72,13.96,26.62,13.96,13.00,-0.96,UNDER_SEA,,FX_CONFLICT catalog_cost_usd 2.37 vs used 2.36 (prefer CNY/6.725515); live available $13; UNDER_SEA -0.96 (current GM vs sea landed 46.31%)
K01,K,650,125.00,18.59,2.52,3.35,9.15,9.15,21.72,11.44,27.16,18.59,27.74,40.31,30.03,37.18,55.48,80.62,60.06,37.00,-18.48,UNDER_SEA,,LIVE_LIST 125 (was USD_ONLY ~103.03 / 15.32); live available $37; UNDER_SEA -18.48 (current GM vs sea landed 25.03%)
H01,H,40,17.90,2.66,2.52,3.35,0.56,4.61,10.95,4.61,10.95,2.66,7.27,13.61,7.27,5.32,14.54,27.22,14.54,8.00,-6.54,UNDER_SEA,,LIVE_LIST 17.90 (was USD_ONLY ~13.45 / 2.00); live available $8; UNDER_SEA -6.54 (current GM vs sea landed 9.13%)
A02,A,360,85.90,12.77,2.52,3.35,5.07,5.07,12.03,6.34,15.04,12.77,17.84,24.80,19.11,25.54,35.68,49.60,38.22,22.00,-13.68,UNDER_SEA,,LIVE_LIST 85.90 (was 71); live available $22; UNDER_SEA -13.68 (current GM vs sea landed 18.91%)
A03,A,360,59.00,8.77,2.52,3.35,5.07,5.07,12.03,6.34,15.04,8.77,13.84,20.80,15.11,17.54,27.68,41.60,30.22,19.00,-8.68,UNDER_SEA,,FX_CONFLICT catalog_cost_usd 8.79 vs used 8.77 (prefer CNY/6.725515); SNAPSHOT_SELL 19.00 not live; do not Save; live A03 has no sourceLink; live hold Inbox; UNDER_SEA -8.68 (current GM vs sea landed 27.16%)
